Movie night with wifey  watching Allied Movie at Regal Cinemas Broward Stadium 12 &amp; RPX https://t.co/79Tw25hGsi
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
". @screenrant's take on #Allied starring Brad Pitt, Vincent Ebrahim &amp; Xavier De Guillebon https://t.co/wIzoxJuUFU"
"Just saw Allied. Great movie, highly recommend seeing it."
"RT @SmithsonianMag: The best spies wont leave behind evidence trail, but then how will audiences know whats true, whats fiction? https:/"
RT @RegalMovies: Can he uncover the truth? @AlliedMovie opens tonight at Regal Cinemas! Get tickets: https://t.co/maupYiFuxP https://t.co/I
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
I hope this is good. # 65 on the year. Later tonight  watching Allied Movie at Rave Cinemas Baldwin Hills... https://t.co/Xw7VvEm8nm
"Movie review: World War II romance @AlliedMovie fails to give viewers a strong, developed relationship to root for. https://t.co/wxh2lUK4ui"
"Movie review: World War II romance @AlliedMovie fails to give viewers a strong, developed relationship to root for. https://t.co/Uui1BWhtLh"
"#JustWatched Allied. 2 spies fall for each other, only to later be squared off against their own deceptions. A good old-fashioned movie,"
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
That allied movie dope btw
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this @AlliedMovie prize pack! #AlliedMovie is NOW PLAYING! Get tickets: https://t.co/maupY
