Bad Santa 2 LFG
RT @PolarKoala: Can you really be classed as a film critic if your film of the week is Bad Santa 2? Shame on @BBC for employing that person
Should I see Moana or Bad Santa 2?
Bad Santa 2 Has Hit The Theaters Today Who has plans to see it? https://t.co/3huu8lxujL
@CartridgeGames Bad Santa 2 is basically Zoolander 2
"Also, I'm shocked Bad Santa 2 is getting torn apart by critics. Making a comedy sequel 10+ years later always works out."
"Lions game , family time and bad Santa  2 tmr  #Thanksgiving"
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this #BadSanta2 movie prize pack! @BadSanta is NOW PLAYING! Get tickets: https://t.co/3Fau
Tryna go see Bad Santa 2
"Probably can't live up to first, &amp; sadly missing Bernie Mac, John Ritter  But will have to see it Bad Santa 2 https://t.co/e7Tx1KQrL2"
RT @PolarKoala: Can you really be classed as a film critic if your film of the week is Bad Santa 2? Shame on @BBC for employing that person
"RT @ShowFilmFirst: #BADSANTA2 returns Academy Award-winner #BILLYBOBTHORNTON to the screen as Americas favorite anti-hero, Willie... http"
RT @ShowcaseCinemas: FOLLOW&amp;RT to #WIN 1 of 2 #BadSanta2 merch sets to celebrate its release on 23/11. T&amp;Cs: https://t.co/s4tJuQYqtW https:
Teabagging - Exclusive 'Bad Santa 2' Interview (2016) https://t.co/V9M8tuwaBn https://t.co/naM8TWsUVg
RT @ShowcaseCinemas: FOLLOW&amp;RT to #WIN 1 of 2 #BadSanta2 merch sets to celebrate its release on 23/11. T&amp;Cs: https://t.co/s4tJuQYqtW https:
Can you really be classed as a film critic if your film of the week is Bad Santa 2? Shame on @BBC for employing that person #Film2016
"RT @swardplay: Just after 10.30am, Ill be reviewing 'Bad Santa 2' and 'Your Name' on @abcgoldcoast."
"Just after 10.30am, Ill be reviewing 'Bad Santa 2' and 'Your Name' on @abcgoldcoast."
RT @ShowcaseCinemas: FOLLOW&amp;RT to #WIN 1 of 2 #BadSanta2 merch sets to celebrate its release on 23/11. T&amp;Cs: https://t.co/s4tJuQYqtW https:
RT @ShowcaseCinemas: FOLLOW&amp;RT to #WIN 1 of 2 #BadSanta2 merch sets to celebrate its release on 23/11. T&amp;Cs: https://t.co/s4tJuQYqtW https:
RT @Milkman__Dead: Saw Bad Santa 2 yesterday. It was just as funny as the first. Shout out to #XillaMovieParty for having me!
I did not know Bad Santa 2 was in the movies I have to see it
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this #BadSanta2 movie prize pack! @BadSanta is NOW PLAYING! Get tickets: https://t.co/3Fau
"Film 2016: So, out of A United Kingdom, Allied and Bad Santa 2, which is your film of the week? Danny Leigh: I, Daniel Blake. :)))))"
Review: 'Bad Santa 2' Delivers a Mixed Bag https://t.co/c6NZ30p5XL via @SassyMamainLA
RT @RegalMovies: FOLLOW &amp; RT for a chance to win this #BadSanta2 movie prize pack! @BadSanta is NOW PLAYING! Get tickets: https://t.co/3Fau
@dannytheleigh I think @camillalong just suggested you're too beautiful for this world. Or at least for Bad Santa 2.
